fluid,no,date/yyyy-mm-dd,time/hh:mm:ss,PT102/MPa,PT101/MPa,TT009/K,TT010/K,TT008/K,TT101/K,TT102/K,x1,x2,impurity,err(x)
Nitrogen,1,2021-03-04,11:19:37,5,6.000400162,153.3717346,199.7207336,150.9449005,149.8045349,144.735611,0,0,0.001323675,0.000178634
Nitrogen,1,2021-03-04,12:36:10,4.000699997,6,153.5574646,182.3177338,150.9464874,149.8028107,137.8550262,0,0,0.001426653,0.000179006
Nitrogen,1,2021-03-04,12:55:48,3.000200081,6,153.583847,177.1872711,150.9569855,149.8032379,129.2895203,0,0,0.00133941,0.0001789
Nitrogen,1,2021-03-04,13:17:35,1.999799919,6,153.6188354,170.1450958,150.9653625,149.8052979,118.3375092,0,0,0.001284163,0.000178742
Nitrogen,1,2021-03-04,13:34:22,1.000699997,6,153.6438141,166.4282074,150.9642639,149.8056335,104.0938416,0,0,0.001167111,0.000178768
Nitrogen,1,2021-03-04,14:13:39,0.140999997,6,153.6676788,156.7790833,150.9702148,149.8038483,88.22898865,0,0,0.000871989,0.000178424
Nitrogen,2,2020-12-14,17:22:19,3.995500183,5,163.2271423,230.2084503,160.9491425,160.0000153,155.3346558,0,0,0.009634628,0.000352207
Nitrogen,2,2020-12-14,16:41:17,3.013500023,5.000500107,163.3574829,212.2620544,161.0682373,159.9999542,148.4072418,0,0,0.009634628,0.000352207
Nitrogen,2,2020-12-14,16:17:52,2.002400017,5.000500107,163.3679504,205.6563721,161.1300354,160.0000153,140.3767242,0,0,0.009634628,0.000352197
Nitrogen,2,2020-12-14,15:48:19,1.006499958,5.000799942,163.2810669,203.1812439,161.170166,160.0009766,131.3223724,0,0,0.009634628,0.000351267
Nitrogen,3,2020-12-17,14:46:57,4.943799973,6,163.1779785,213.9452362,161.2459564,160.0006866,155.1429443,0,0,0.001407072,0.000179312
Nitrogen,3,2020-12-17,14:14:12,3.998400116,6.002999878,163.2534485,197.5218506,161.3088837,160.0011444,149.0090485,0,0,0.001502269,0.00017951
Nitrogen,3,2020-12-17,13:53:14,2.985899925,5.99980011,163.2783813,190.6153564,161.3228912,160.0024261,141.4488068,0,0,0.001426391,0.0001795
Nitrogen,3,2020-12-17,13:27:25,1.95340004,5.999900055,163.2807922,186.3155365,161.3407135,160.0029144,132.3999481,0,0,0.000990003,0.000179634
Nitrogen,3,2020-12-17,12:55:47,0.993799973,6,163.2602234,185.5679321,161.3387604,159.9989777,122.2754822,0,0,0.00128626,0.000179852
Nitrogen,4,2020-12-17,12:01:33,5.909000015,7.000099945,163.2254639,206.3808289,161.3146667,160.0016479,155.5285187,0,0,0.001566783,0.000179638
Nitrogen,4,2020-12-17,11:16:20,5.002700043,7.00019989,163.2662659,192.208725,161.3453979,160.0017242,150.3940582,0,0,0.001587414,0.0001801
Nitrogen,4,2020-12-17,10:46:48,4.011100006,7,163.2290955,177.4476013,161.3514709,160.0007477,143.7993011,0,0,0.00148496,0.000179896
Nitrogen,4,2020-12-17,10:28:17,2.018300056,6.999900055,163.1458282,173.479187,161.317337,159.9989777,126.2065735,0,0,0.001441689,0.000179906
Nitrogen,5,2020-11-27,5:44:43,7.990399933,9.00039978,163.7501068,192.9746857,161.2079926,159.9909821,157.1309204,0,0,0.00168672,0.000179896
Nitrogen,5,2020-11-27,5:31:24,7.011199951,9.000100214,163.7607727,183.1949768,161.1860962,159.9898235,153.4137573,0,0,0.001704553,0.000179858
Nitrogen,5,2020-11-27,5:14:33,5.997200012,8.999900055,163.7386475,182.8585205,161.1474609,159.9972076,148.9006195,0,0,0.001795992,0.000179896
Nitrogen,5,2020-11-27,4:47:49,5.006999969,8.99990011,163.8492889,166.1184387,161.156723,159.9941003,143.3387756,0,0,0.001581295,0.000179854
Nitrogen,5,2020-11-27,4:40:22,3.99469986,9,163.843399,159.6170044,161.2059937,159.9982202,136.5501709,0,0,0.001373765,0.000179729
Nitrogen,5,2020-11-27,4:30:43,3.016900063,9,163.8372498,153.9876556,161.1868744,160.0018768,128.1166687,0,0,0.0008469,0.000179351
