mf/g_per_s,p2/MPa,T2/K
0.0005,12.99943,79.99985
0.001,12.99886,79.99977
0.0015,12.99828,79.9997
0.002,12.99771,79.99962
0.0025,12.99714,79.99955
0.003,12.99657,79.99948
0.0035,12.996,79.9994
0.004,12.99542,79.99933
0.0045,12.99485,79.99925
0.005,12.99428,79.99918
0.0055,12.99371,79.9991
0.006,12.99313,79.99903
0.0065,12.99256,79.99895
0.007,12.99199,79.99888
0.0075,12.99142,79.99881
0.008,12.99085,79.99873
0.0085,12.99027,79.99866
0.009,12.9897,79.99858
0.0095,12.98913,79.99851
0.01,12.98856,79.99843
0.0105,12.95322,79.99357
0.011,12.94879,79.99298
0.0115,12.94415,79.99235
0.012,12.93932,79.9917
0.0125,12.93428,79.99102
0.013,12.92904,79.99031
0.0135,12.9236,79.98958
0.014,12.91796,79.98881
0.0145,12.91212,79.98802
0.015,12.90607,79.9872
0.0155,12.89982,79.98635
0.016,12.89337,79.98548
0.0165,12.88671,79.98457
0.017,12.87985,79.98363
0.0175,12.87279,79.98267
0.018,12.86552,79.98168
0.0185,12.85805,79.98065
0.019,12.85038,79.9796
0.0195,12.8425,79.97852
0.02,12.83441,79.97741
0.0205,12.82612,79.97626
0.021,12.81762,79.97509
0.0215,12.80892,79.97388
0.022,12.80001,79.97265
0.0225,12.79089,79.97138
0.023,12.78157,79.97008
0.0235,12.77204,79.96875
0.024,12.7623,79.96738
0.0245,12.75235,79.96599
0.025,12.74219,79.96456
0.0255,12.73183,79.96309
0.026,12.72125,79.9616
0.0265,12.71047,79.96007
0.027,12.69947,79.9585
0.0275,12.68826,79.95691
0.028,12.67684,79.95527
0.0285,12.66521,79.9536
0.029,12.65337,79.9519
0.0295,12.64131,79.95016
0.03,12.62904,79.94838
0.0305,12.61656,79.94657
0.031,12.60386,79.94472
0.0315,12.59095,79.94284
0.032,12.57782,79.94091
0.0325,12.56447,79.93895
0.033,12.55091,79.93695
0.0335,12.53713,79.93491
0.034,12.52314,79.93283
0.0345,12.50892,79.93071
0.035,12.49448,79.92855
0.0355,12.47983,79.92635
0.036,12.46496,79.9241
0.0365,12.44986,79.92182
0.037,12.43454,79.91949
0.0375,12.419,79.91712
0.038,12.40324,79.91471
0.0385,12.38725,79.91225
0.039,12.37104,79.90975
0.0395,12.3546,79.90721
0.04,12.33794,79.90461
0.0405,12.32104,79.90198
0.041,12.30393,79.89929
0.0415,12.28658,79.89656
0.042,12.269,79.89378
0.0425,12.2512,79.89095
0.043,12.23316,79.88807
0.0435,12.21489,79.88515
0.044,12.19639,79.88217
0.0445,12.17765,79.87914
0.045,12.15868,79.87606
0.0455,12.13948,79.87293
0.046,12.12003,79.86974
0.0465,12.10035,79.8665
0.047,12.08043,79.8632
0.0475,12.06028,79.85985
0.048,12.03988,79.85645
0.0485,12.01924,79.85298
0.049,11.99836,79.84946
0.0495,11.97723,79.84588
0.05,11.95586,79.84224
0.0505,11.93424,79.83854
0.051,11.91238,79.83477
0.0515,11.89027,79.83095
0.052,11.86791,79.82706
0.0525,11.8453,79.82311
0.053,11.82243,79.8191
0.0535,11.79932,79.81501
0.054,11.77595,79.81086
0.0545,11.75232,79.80665
0.055,11.72844,79.80236
0.0555,11.70429,79.79801
0.056,11.67989,79.79358
0.0565,11.65523,79.78908
0.057,11.63031,79.78451
0.0575,11.60512,79.77986
0.058,11.57966,79.77514
0.0585,11.55394,79.77034
0.059,11.52795,79.76546
0.0595,11.50169,79.76051
0.06,11.47516,79.75547
0.0605,11.44836,79.75035
0.061,11.42128,79.74515
0.0615,11.39392,79.73986
0.062,11.36628,79.73449
0.0625,11.33837,79.72903
0.063,11.31017,79.72349
0.0635,11.28169,79.71785
0.064,11.25292,79.71212
0.0645,11.22387,79.7063
0.065,11.19452,79.70038
0.0655,11.16489,79.69437
0.066,11.13496,79.68826
0.0665,11.10473,79.68205
0.067,11.07421,79.67574
0.0675,11.04339,79.66933
0.068,11.01226,79.66281
0.0685,10.98083,79.65618
0.069,10.9491,79.64945
0.0695,10.91705,79.6426
0.07,10.8847,79.63565
0.0705,10.85203,79.62858
0.071,10.81904,79.62139
0.0715,10.78573,79.61408
0.072,10.75211,79.60666
0.0725,10.71815,79.59911
0.073,10.68388,79.59143
0.0735,10.64927,79.58363
0.074,10.61433,79.5757
0.0745,10.57905,79.56764
0.075,10.54343,79.55944
0.0755,10.50748,79.55111
0.076,10.47118,79.54263
0.0765,10.43453,79.53402
0.077,10.39752,79.52526
0.0775,10.36017,79.51635
0.078,10.32246,79.50729
0.0785,10.28438,79.49808
0.079,10.24594,79.48871
0.0795,10.20713,79.47918
0.08,10.16795,79.46948
0.0805,10.12839,79.45962
0.081,10.08846,79.4496
0.0815,10.04813,79.43939
0.082,10.00742,79.42902
0.0825,9.96632,79.41846
0.083,9.92482,79.40772
0.0835,9.88291,79.39679
0.084,9.8406,79.38566
0.0845,9.79788,79.37435
0.085,9.75474,79.36283
0.0855,9.71119,79.35111
0.086,9.6672,79.33918
0.0865,9.62278,79.32704
0.087,9.57793,79.31468
0.0875,9.53264,79.30209
0.088,9.48689,79.28928
0.0885,9.44069,79.27624
0.089,9.39403,79.26295
0.0895,9.34691,79.24943
0.09,9.29931,79.23565
0.0905,9.25123,79.22162
0.091,9.20267,79.20733
0.0915,9.15361,79.19277
0.092,9.10405,79.17794
0.0925,9.05398,79.16283
0.093,9.00339,79.14743
0.0935,8.95228,79.13174
0.094,8.90064,79.11574
0.0945,8.84845,79.09944
0.095,8.79572,79.08282
0.0955,8.74242,79.06588
0.096,8.68856,79.0486
0.0965,8.63412,79.03098
0.097,8.57909,79.013
0.0975,8.52346,78.99467
0.098,8.46722,78.97597
0.0985,8.41035,78.95688
0.099,8.35286,78.93741
0.0995,8.29471,78.91753
0.1,8.23591,78.89724
0.1005,8.17644,78.87653
0.101,8.11628,78.85537
0.1015,8.05542,78.83377
0.102,7.99384,78.8117
0.1025,7.93153,78.78916
0.103,7.86848,78.76612
0.1035,7.80466,78.74257
0.104,7.74006,78.7185
0.1045,7.67466,78.69389
0.105,7.60844,78.66872
0.1055,7.54138,78.64298
0.106,7.47346,78.61664
0.1065,7.40466,78.58968
0.107,7.33494,78.56208
0.1075,7.2643,78.53383
0.108,7.19269,78.50489
0.1085,7.12011,78.47524
0.109,7.0465,78.44485
0.1095,6.97185,78.41371
0.11,6.89613,78.38177
0.1105,6.81929,78.349
0.111,6.7413,78.31538
0.1115,6.66213,78.28087
0.112,6.58173,78.24543
0.1125,6.50006,78.20902
0.113,6.41708,78.1716
0.1135,6.33272,78.13313
0.114,6.24695,78.09354
0.1145,6.1597,78.0528
0.115,6.07091,78.01085
0.1155,5.98051,77.96763
0.116,5.88845,77.92306
0.1165,5.79463,77.87709
0.117,5.69897,77.82963
0.1175,5.60139,77.7806
0.118,5.50178,77.72991
0.1185,5.40004,77.67747
0.119,5.29604,77.62315
0.1195,5.18966,77.56686
0.12,5.08075,77.50844
0.1205,4.96915,77.44775
0.121,4.85468,77.38463
0.1215,4.73713,77.31889
0.122,4.61628,77.25033
0.1225,4.49187,77.1787
0.123,4.36359,77.10375
0.1235,4.23112,77.02514
0.124,4.09404,76.94253
0.1245,3.95189,76.85549
0.125,3.80412,76.76351
0.1255,3.65006,76.66598
0.126,3.48889,76.56217
0.1265,3.31959,76.45115
0.127,3.14088,76.33176
0.1275,2.95108,76.20247
0.128,2.74794,76.06126
0.1285,2.52831,75.90526
0.129,2.28754,75.73027
0.1295,2.01823,75.52959
0.13,1.70724,75.29131
0.1305,1.32644,74.98992
0.131,0.78471,74.54263
0.1315,0.0014,73.85597
