Temperature             Resistance
(Kelvin)                (Ohms)

1.80797956417711E+01   8.77434314012738E+03
1.90553077725763E+01   8.05576614789571E+03
2.00319507781181E+01   7.43040820762903E+03
2.11092074362993E+01   6.82922800606739E+03
2.27051018820297E+01   6.07764694043780E+03
2.42921499269805E+01   5.45638023758048E+03
2.58895812312068E+01   4.93114556207950E+03
2.75041276653096E+01   4.48030281579762E+03
2.91285717272340E+01   4.09085149232212E+03
3.09516653477266E+01   3.71621901141788E+03
3.30702821955057E+01   3.34687563362737E+03
3.60770630372928E+01   2.91717685010676E+03
3.90828467276077E+01   2.57112337209048E+03
4.20769545227122E+01   2.28867803993462E+03
4.50779121023936E+01   2.05299643118782E+03
4.80862992879080E+01   1.85427683051139E+03
5.00793161307912E+01   1.73929454216281E+03
5.50751227125599E+01   1.49703125304342E+03
6.00696418772032E+01   1.30555315124345E+03
6.50612552658790E+01   1.15124500624332E+03
7.00618066357626E+01   1.02432809467525E+03
7.50549158388408E+01   9.18924569445969E+02
8.00487898078957E+01   8.30161722173689E+02
8.50471604311068E+01   7.54462669908446E+02
9.00421995841051E+01   6.89490108814148E+02
9.50379031086127E+01   6.33122955268931E+02
1.00037921392571E+02   5.83854041039001E+02
1.10042800000859E+02   5.02141478702441E+02
1.20034817843296E+02   4.37588479177750E+02
1.30025106731111E+02   3.85552499372057E+02
1.40017678438770E+02   3.42887480466490E+02
1.50017772459996E+02   3.07379502349460E+02
1.60025805882899E+02   2.77506406294569E+02
1.70029166390205E+02   2.52133352532106E+02
1.80048504735011E+02   2.30378025947526E+02
1.90041534364777E+02   2.11588327433685E+02
2.00035381733688E+02   1.95236025929243E+02
2.10034314594655E+02   1.80913077994807E+02
2.20039561695430E+02   1.68273929762084E+02
2.30039112084904E+02   1.57090830454325E+02
2.40028630109731E+02   1.47137646020356E+02
2.50036090952371E+02   1.38217091412390E+02
2.60033606807116E+02   1.30217176891852E+02
2.70040232764560E+02   1.22992285496035E+02
2.80031881792199E+02   1.16460507887770E+02
2.90045359837229E+02   1.10516094496974E+02
3.00042543166907E+02   1.05111048554968E+02
3.10052831900546E+02   1.00172517906302E+02
3.15060318940597E+02   9.78633214164717E+01
3.20056321798467E+02   9.56486669311800E+01
3.26051414895941E+02   9.31209388350339E+01
3.30054473715869E+02   9.14974790183154E+01
