Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

  20.000   7.449528E+03   -6.007680E+02   -1.6129E+00
  21.000   6.886914E+03   -5.267700E+02   -1.6063E+00
  22.000   6.391876E+03   -4.651050E+02   -1.6008E+00
  23.000   5.953434E+03   -4.132507E+02   -1.5965E+00
  24.000   5.562787E+03   -3.692140E+02   -1.5929E+00
  25.000   5.212875E+03   -3.315572E+02   -1.5901E+00
  26.000   4.897943E+03   -2.991016E+02   -1.5877E+00
  27.000   4.613243E+03   -2.709485E+02   -1.5858E+00
  28.000   4.354844E+03   -2.463960E+02   -1.5842E+00
  29.000   4.119452E+03   -2.248522E+02   -1.5829E+00
  30.000   3.904286E+03   -2.058659E+02   -1.5818E+00
  31.000   3.706997E+03   -1.890514E+02   -1.5810E+00
  32.000   3.525564E+03   -1.740982E+02   -1.5802E+00
  33.000   3.358265E+03   -1.607513E+02   -1.5796E+00
  34.000   3.203598E+03   -1.487934E+02   -1.5792E+00
  35.000   3.060281E+03   -1.380300E+02   -1.5786E+00
  36.000   2.927184E+03   -1.283315E+02   -1.5783E+00
  37.000   2.803308E+03   -1.195620E+02   -1.5781E+00
  38.000   2.687792E+03   -1.115970E+02   -1.5778E+00
  39.000   2.579872E+03   -1.043563E+02   -1.5776E+00
  40.000   2.478866E+03   -9.775554E+01   -1.5774E+00
  42.000   2.295262E+03   -8.618742E+01   -1.5771E+00
  44.000   2.132903E+03   -7.644077E+01   -1.5769E+00
  46.000   1.988519E+03   -6.816339E+01   -1.5768E+00
  48.000   1.859459E+03   -6.107736E+01   -1.5766E+00
  50.000   1.743551E+03   -5.497965E+01   -1.5767E+00
  52.000   1.639000E+03   -4.969339E+01   -1.5766E+00
  54.000   1.544327E+03   -4.508415E+01   -1.5764E+00
  56.000   1.458276E+03   -4.105478E+01   -1.5766E+00
  58.000   1.379790E+03   -3.750479E+01   -1.5765E+00
  60.000   1.307981E+03   -3.436837E+01   -1.5766E+00
  65.000   1.152908E+03   -2.796569E+01   -1.5767E+00
  70.000   1.025760E+03   -2.310774E+01   -1.5769E+00
  75.000   9.200073E+02   -1.934792E+01   -1.5773E+00
  77.350   8.763062E+02   -1.787135E+01   -1.5775E+00
  80.000   8.309530E+02   -1.638751E+01   -1.5777E+00
  85.000   7.551441E+02   -1.402162E+01   -1.5783E+00
  90.000   6.899910E+02   -1.210437E+01   -1.5789E+00
  95.000   6.335245E+02   -1.053336E+01   -1.5795E+00
 100.000   5.842045E+02   -9.234655E+00   -1.5807E+00
 105.000   5.408263E+02   -8.147406E+00   -1.5818E+00
 110.000   5.024500E+02   -7.228680E+00   -1.5826E+00
 115.000   4.683115E+02   -6.446996E+00   -1.5831E+00
 120.000   4.377937E+02   -5.777200E+00   -1.5835E+00
 125.000   4.103855E+02   -5.199912E+00   -1.5838E+00
 130.000   3.856668E+02   -4.699372E+00   -1.5841E+00
 135.000   3.632849E+02   -4.263052E+00   -1.5842E+00
 140.000   3.429465E+02   -3.880628E+00   -1.5842E+00
 145.000   3.244026E+02   -3.543866E+00   -1.5840E+00
 150.000   3.074433E+02   -3.245894E+00   -1.5837E+00
 155.000   2.918883E+02   -2.981174E+00   -1.5831E+00
 160.000   2.775840E+02   -2.745021E+00   -1.5822E+00
 165.000   2.643968E+02   -2.533624E+00   -1.5811E+00
 170.000   2.522119E+02   -2.343718E+00   -1.5798E+00
 175.000   2.409283E+02   -2.172613E+00   -1.5781E+00
 180.000   2.304583E+02   -2.017978E+00   -1.5761E+00
 185.000   2.207244E+02   -1.877871E+00   -1.5739E+00
 190.000   2.116583E+02   -1.750592E+00   -1.5715E+00
 195.000   2.031995E+02   -1.634705E+00   -1.5687E+00
 200.000   1.952943E+02   -1.528945E+00   -1.5658E+00
 205.000   1.878949E+02   -1.432232E+00   -1.5626E+00
 210.000   1.809586E+02   -1.343607E+00   -1.5592E+00
 215.000   1.744468E+02   -1.262245E+00   -1.5557E+00
 220.000   1.683252E+02   -1.187407E+00   -1.5519E+00
 225.000   1.625629E+02   -1.118454E+00   -1.5480E+00
 230.000   1.571318E+02   -1.054812E+00   -1.5440E+00
 235.000   1.520068E+02   -9.959772E-01   -1.5398E+00
 240.000   1.471648E+02   -9.414987E-01   -1.5354E+00
 245.000   1.425852E+02   -8.909783E-01   -1.5309E+00
 250.000   1.382490E+02   -8.440570E-01   -1.5263E+00
 255.000   1.341391E+02   -8.004173E-01   -1.5216E+00
 260.000   1.302399E+02   -7.597713E-01   -1.5167E+00
 265.000   1.265369E+02   -7.218636E-01   -1.5118E+00
 270.000   1.230171E+02   -6.864622E-01   -1.5067E+00
 273.150   1.208882E+02   -6.653539E-01   -1.5034E+00
 275.000   1.196684E+02   -6.533604E-01   -1.5014E+00
 280.000   1.164799E+02   -6.223695E-01   -1.4961E+00
 285.000   1.134415E+02   -5.933213E-01   -1.4906E+00
 290.000   1.105437E+02   -5.660614E-01   -1.4850E+00
 295.000   1.077781E+02   -5.404524E-01   -1.4793E+00
 300.000   1.051367E+02   -5.163676E-01   -1.4734E+00
 305.000   1.026121E+02   -4.936929E-01   -1.4674E+00
 310.000   1.001976E+02   -4.723235E-01   -1.4613E+00
 315.000   9.788683E+01   -4.521671E-01   -1.4551E+00
 320.000   9.567403E+01   -4.331350E-01   -1.4487E+00
 325.000   9.355374E+01   -4.151487E-01   -1.4422E+00
