authors,year,fluid,p/psia,p/atm,p/MPa,T/degC,T/F,T/K,x1,x2,uJT_meas/(K/MPa),uJT_meas/(F/psi),uJT_meas/(degC/atm),rel_err
"(Bier,Ernst,Maurer)",1974,propylene,,,0.3695,24.239,,297.389,,,17.82,,,
"(Bier,Ernst,Maurer)",1974,propylene,,,0.3528,24.765,,297.915,,,17.851,,,
"(Bier,Ernst,Maurer)",1974,propylene,,,0.3378,24.82,,297.97,,,17.622,,,
"(Bier,Ernst,Maurer)",1974,propylene,,,0.5128,24.942,,298.092,,,18.514,,,
"(Bier,Ernst,Maurer)",1974,propylene,,,0.5006,24.71,,297.86,,,18.468,,,
"(Bier,Ernst,Maurer)",1974,propylene,,,0.4873,24.977,,298.127,,,18.422,,,
"(Bier,Ernst,Maurer)",1974,propylene,,,0.787,24.425,,297.575,,,19.763,,,
"(Bier,Ernst,Maurer)",1974,propylene,,,0.778,24.596,,297.746,,,19.74,,,
"(Bier,Ernst,Maurer)",1974,propylene,,,0.7696,24.775,,297.925,,,19.731,,,
"(Bier,Ernst,Maurer)",1974,propylene,,,0.9816,24.477,,297.627,,,20.921,,,
"(Bier,Ernst,Maurer)",1974,propylene,,,0.9848,24.464,,297.614,,,21.017,,,
"(Bier,Ernst,Maurer)",1974,propylene,,,0.9832,24.68,,297.83,,,20.854,,,
Smith,1970,n-butane,14.7,,0.101352749,37.77777778,100,310.9277778,,,21.61,0.2682,,
Smith,1970,n-butane,20,,0.137894897,37.77777778,100,310.9277778,,,21.97,0.2727,,
Smith,1970,n-butane,40,,0.275789793,37.77777778,100,310.9277778,,,24.16,0.2998,,
Smith,1970,n-butane,14.7,,0.101352749,71.11111111,160,344.2611111,,,15.44,0.1916,,
Smith,1970,n-butane,20,,0.137894897,71.11111111,160,344.2611111,,,15.68,0.1946,,
Smith,1970,n-butane,40,,0.275789793,71.11111111,160,344.2611111,,,16.6,0.206,,
Smith,1970,n-butane,14.7,,0.101352749,104.4444444,220,377.5944444,,,11.61,0.1441,,
Smith,1970,n-butane,20,,0.137894897,104.4444444,220,377.5944444,,,11.76,0.1459,,
Smith,1970,n-butane,40,,0.275789793,104.4444444,220,377.5944444,,,12.35,0.1533,,
Roebuck,1935,nitrogen,,1,0.101325,300,,573.15,,,0.133234641,,0.0135,
Roebuck,1935,nitrogen,,1,0.101325,250,,523.15,,,0.315815445,,0.032,
Roebuck,1935,nitrogen,,1,0.101325,200,,473.15,,,0.532938564,,0.054,
Roebuck,1935,nitrogen,,1,0.101325,150,,423.15,,,0.829015544,,0.084,
Roebuck,1935,nitrogen,,1,0.101325,125,,398.15,,,1.021465581,,0.1035,
Roebuck,1935,nitrogen,,1,0.101325,100,,373.15,,,1.233654083,,0.125,
Roebuck,1935,nitrogen,,1,0.101325,75,,348.15,,,1.485319516,,0.1505,
Roebuck,1935,nitrogen,,1,0.101325,50,,323.15,,,1.771527264,,0.1795,
Roebuck,1935,nitrogen,,1,0.101325,25,,298.15,,,2.116950407,,0.2145,
Roebuck,1935,nitrogen,,1,0.101325,0,,273.15,,,2.536392795,,0.257,
Roebuck,1935,nitrogen,,1,0.101325,-25,,248.15,,,3.079200592,,0.312,
Roebuck,1935,nitrogen,,1,0.101325,-50,,223.15,,,3.789785344,,0.384,
Roebuck,1935,nitrogen,,1,0.101325,-75,,198.15,,,4.806316309,,0.487,
Roebuck,1935,nitrogen,,1,0.101325,-87.5,,185.65,,,5.452751049,,0.5525,
Roebuck,1935,nitrogen,,1,0.101325,-100,,173.15,,,6.197878115,,0.628,
Roebuck,1935,nitrogen,,1,0.101325,-112.5,,160.65,,,7.095978288,,0.719,
Roebuck,1935,nitrogen,,1,0.101325,-125,,148.15,,,8.171724648,,0.828,
Roebuck,1935,nitrogen,,1,0.101325,-137.5,,135.65,,,9.523809524,,0.965,
Roebuck,1935,nitrogen,,1,0.101325,-150,,123.15,,,12.08981002,,1.225,
Roebuck,1935,nitrogen,,1,0.101325,-160,,113.15,,,15.59338761,,1.58,
Roebuck,1935,nitrogen,,1,0.101325,-170,,103.15,,,19.14631137,,1.94,
Roebuck,1935,nitrogen,,1,0.101325,-180,,93.15,,,22.84727362,,2.315,
Roebuck,1935,nitrogen,,20,2.0265,300,,573.15,,,0.09375771,,0.0095,
