directory,file_name,variable_name,variable_type,variable_values,description,unit
raw_data,YYYY-MM-DD.csv,Date,date,NA,calendar date of the measurement sample (UTC offset of the lab clock),yyyy-mm-dd
raw_data,YYYY-MM-DD.csv,Time,time,NA,wall-clock time of the measurement sample,hh:mm:ss
raw_data,YYYY-MM-DD.csv,PT102,"numeric, continuous",NA,downstream pressure (capillary outlet) from the Mensor CPT 6100 absolute pressure transducer,MPa
raw_data,YYYY-MM-DD.csv,PT101,"numeric, continuous",NA,upstream pressure (capillary inlet) from the Mensor CPT 6100 absolute pressure transducer,MPa
raw_data,YYYY-MM-DD.csv,TT009,"numeric, continuous",NA,thermal shield highest temperature (platinum sensor),K
raw_data,YYYY-MM-DD.csv,TT010,"numeric, continuous",NA,cryostat outlet temperature before the warming heater Q011 (platinum sensor),K
raw_data,YYYY-MM-DD.csv,TT008,"numeric, continuous",NA,cold head temperature of the Cryomech AL300 cryocooler (platinum sensor),K
raw_data,YYYY-MM-DD.csv,TT101,"numeric, continuous",NA,upstream temperature from the Cernox sensor (capillary inlet),K
raw_data,YYYY-MM-DD.csv,RT101,"numeric, continuous",NA,resistance of the TT101 Cernox sensor used to derive TT101,ohm
raw_data,YYYY-MM-DD.csv,TT102,"numeric, continuous",NA,downstream temperature from the Cernox sensor (capillary outlet),K
raw_data,YYYY-MM-DD.csv,RT102,"numeric, continuous",NA,resistance of the TT102 Cernox sensor used to derive TT102,ohm
raw_data,YYYY-MM-DD.csv,Q008,"numeric, continuous",NA,power of the regulated cold-head heater (not recorded on 2020-11-27 or 2020-12-14),W
raw_data,YYYY-MM-DD.csv,x1,"numeric, continuous","[0, 1]",mole fraction of the first mixture component as reported by GA016 (mixture campaigns only),dimensionless
raw_data,YYYY-MM-DD.csv,x2,"numeric, continuous","[0, 1]",mole fraction of the second mixture component as reported by GA016 (mixture campaigns only),dimensionless
raw_data,YYYY-MM-DD.csv,impurity,"numeric, continuous","[0, 1]",impurity fraction (1 minus the purity) for pure-fluid campaigns,dimensionless
raw_data,YYYY-MM-DD.csv,err(x),"numeric, continuous",NA,GA016 composition uncertainty associated with x1 (and x2),dimensionless
derived_data/p_T_pairs,Fluid_TK_PMPa.csv,PT102/MPa,"numeric, continuous",NA,mean downstream pressure over the steady-state averaging window,MPa
derived_data/p_T_pairs,Fluid_TK_PMPa.csv,PT102/MPa_STD,"numeric, continuous",NA,standard deviation of PT102 over the averaging window,MPa
derived_data/p_T_pairs,Fluid_TK_PMPa.csv,PT102/MPa_EXP_UNC,"numeric, continuous",NA,expanded measurement uncertainty of PT102 (k=2) over the averaging window,MPa
derived_data/p_T_pairs,Fluid_TK_PMPa.csv,PT101/MPa,"numeric, continuous",NA,mean upstream pressure over the steady-state averaging window,MPa
