date/yyyy-mm-dd,time/hh:mm:ss,PT102/MPa,PT101/MPa,TT009/K,TT010/K,TT008/K,TT101/K,RT101/ohm,TT102/K,RT102/ohm,x1,x2,impurity,err(x)
2020-12-14,15:40:00,1.006999969,5.004100037,163.1995239,203.5297852,161.1396332,160.010025,277.5492249,131.3260651,155.7731781,0.997404327,0.00259572,0.009634628,0.000352266
2020-12-14,15:40:01,1.007199955,5.004399872,163.1995239,203.5283356,161.1395569,160.0098114,277.5498352,131.3250885,155.7742004,0.997404327,0.00259572,0.009634628,0.000352266
2020-12-14,15:40:02,1.007299995,5.004600143,163.1995239,203.5259094,161.1399384,160.0094147,277.5510254,131.3254395,155.7739258,0.997404327,0.00259572,0.009634628,0.000352266
2020-12-14,15:40:03,1.006999969,5.004800034,163.2005768,203.5243988,161.1384735,160.010025,277.5492554,131.3264771,155.7728424,0.997404327,0.00259572,0.009634628,0.000352266
2020-12-14,15:40:04,1.007299995,5.005099869,163.2005768,203.5230713,161.1390228,160.0097656,277.5500793,131.3264771,155.7728577,0.997404327,0.00259572,0.009634628,0.000352266
2020-12-14,15:40:05,1.006999969,5.00530014,163.2016602,203.5206604,161.1389923,160.0100861,277.5491333,131.3266144,155.7726898,0.997404327,0.00259572,0.009634628,0.000352266
2020-12-14,15:40:06,1.00710001,5.004299927,163.2016602,203.5187531,161.1392212,160.0098114,277.5498047,131.3271179,155.7721863,0.997404327,0.00259572,0.009634628,0.000352187
2020-12-14,15:40:07,1.007400036,5.003300095,163.2016602,203.5159912,161.1382751,160.009964,277.549408,131.3266144,155.772583,0.997404327,0.00259572,0.009634628,0.000352187
2020-12-14,15:40:08,1.007199955,5.002700043,163.2016602,203.5146484,161.1387482,160.0103455,277.5483704,131.3271179,155.7720947,0.997414169,0.00258576,0.009634628,0.000352187
2020-12-14,15:40:09,1.007299995,5.002000046,163.2016602,203.5130157,161.1385345,160.0097046,277.5502319,131.3270111,155.7722015,0.997414169,0.00258576,0.009634628,0.000352187
2020-12-14,15:40:10,1.007199955,5.001300049,163.2026672,203.5097961,161.1379242,160.0105286,277.5479126,131.3275146,155.7717133,0.997414169,0.00258576,0.009634628,0.000352187
